,NEIGHBORHOOD,TOTAL MD AGE AT DEATH
0,EAST ALLEGHENY,66.2
1,ALLENTOWN,66.5
2,MANCHESTER,67.4
3,NORTHVIEW HEIGHTS,68.0
4,CALIFORNIA-KIRKBRIDE,69.3
5,BLUFF,70.0
6,MARSHALL-SHADELAND,70.0
7,TROY HILL/HERR'S ISLAND,70.3
8,FINEVIEW,70.8
9,EAST HILLS,70.9
10,FRIENDSHIP,71.1
11,TERRACE VILLAGE,71.2
12,BEDFORD DWELLINGS,71.4
13,KNOXVILLE,71.7
14,CENTRAL NORTHSIDE,71.7
15,SPRING GARDEN,71.8
16,SHERADEN,72.0
17,ELLIOTT,72.0
18,POLISH HILL,72.2
19,HAZELWOOD,72.2
20,MIDDLE HILL,72.4
21,EAST LIBERTY,73.0
22,POINT BREEZE NORTH,73.2
23,GARFIELD,73.5
24,CRAFTON HEIGHTS,73.5
25,ARLINGTON,73.7
26,UPPER LAWRENCEVILLE,73.7
27,LOWER LAWRENCEVILLE,73.9
28,CENTRAL BUSINESS DISTRICT,73.9
29,PERRY NORTH,74.6
30,CRAWFORD ROBERTS,74.8
31,MOUNT OLIVER NEIGHBORHOOD,75.0
32,HOMEWOOD NORTH,75.1
33,LARIMER,75.3
34,CARRICK,75.9
